filename,topic,outlet,article,likes,shares,comments,nv1,proximity,clickbait,direction,personalization,filename_surveycompany
centralize_resett_3_23 liker_987 delinger_432 kommentarer_cropped.png,centralize,resett,3,23,987,432,positive,Norway,True,decentralize,False,02749.png
"centralize_dagbladet_3_6,7k liker_987 delinger_4 kommentarer_cropped.png",centralize,dagbladet,3,"6,7k",987,4,positive,Norway,True,decentralize,False,02751.png
centralize_nettavisen_3_23 liker_7 delinger_432 kommentarer_cropped.png,centralize,nettavisen,3,23,7,432,positive,Norway,True,decentralize,False,02966.png
centralize_vg_3_23 liker_987 delinger_432 kommentarer_cropped.png,centralize,vg,3,23,987,432,positive,Norway,True,decentralize,False,02975.png
"centralize_nrk_3_6,7k liker_7 delinger_432 kommentarer_cropped.png",centralize,nrk,3,"6,7k",7,432,positive,Norway,True,decentralize,False,03019.png
"centralize_klassekampen_3_6,7k liker_987 delinger_4 kommentarer_cropped.png",centralize,klassekampen,3,"6,7k",987,4,positive,Norway,True,decentralize,False,03021.png
"centralize_aftenposten_3_6,7k liker_987 delinger_432 kommentarer_cropped.png",centralize,aftenposten,3,"6,7k",987,432,positive,Norway,True,decentralize,False,03101.png
"centralize_nrk_3_6,7k liker_987 delinger_4 kommentarer_cropped.png",centralize,nrk,3,"6,7k",987,4,positive,Norway,True,decentralize,False,03110.png
centralize_aftenposten_3_23 liker_987 delinger_4 kommentarer_cropped.png,centralize,aftenposten,3,23,987,4,positive,Norway,True,decentralize,False,03178.png
centralize_klassekampen_3_23 liker_7 delinger_4 kommentarer_cropped.png,centralize,klassekampen,3,23,7,4,positive,Norway,True,decentralize,False,03260.png
